Match_Id,Player_Id,Role_Id,.
336022,136,Player,
336022,140,Player,
336022,144,Player,
336023,20,CaptainKeeper,
336023,21,Player,
336023,23,Player,
336023,44,Player,
336023,45,Player,
336023,46,Player,
336023,48,Player,
336023,49,Player,
336023,71,Player,
336023,73,Player,
336023,80,Player,
336023,107,Player,
336023,108,Player,
336023,109,Player,
336023,114,Keeper,
336023,115,Player,
336023,119,Player,
336023,120,Player,
336023,121,Player,
336023,127,Player,
336023,133,Captain,
336023,151,Player,
336024,25,Player,
336024,26,Keeper,
336024,27,Captain,
336024,29,Player,
336024,31,Player,
336024,32,Captain,
336024,33,Player,
336024,36,Player,
336024,37,Player,
336024,39,Player,
336024,67,Player,
336024,68,Player,
336024,69,Keeper,
336024,75,Player,
336024,77,Player,
336024,78,Player,
336024,100,Player,
336024,126,Player,
336024,138,Player,
336024,139,Player,
336024,141,Player,
336024,153,Player,
336025,40,Player,
336025,41,Captain,
336025,42,Player,
336025,53,CaptainKeeper,
336025,54,Player,
336025,57,Player,
336025,58,Player,
336025,61,Player,
336025,70,Player,
336025,87,Player,
336025,88,Keeper,
336025,89,Player,
336025,90,Player,
336025,97,Player,
336025,112,Player,
336025,117,Player,
336025,118,Player,
336025,131,Player,
336025,135,Player,
336025,136,Player,
336025,142,Player,
336025,143,Player,
336026,1,Captain,
336026,4,Player,
336026,5,Player,
336026,44,Player,
336026,45,Player,
336026,46,Player,
336026,48,Player,
336026,49,Player,
336026,62,Keeper,
336026,63,Player,
336026,71,Player,
336026,73,Player,
336026,82,Player,
336026,84,Player,
336026,103,Player,
336026,106,Player,
336026,114,Keeper,
336026,115,Player,
336026,128,Player,
336026,133,Captain,
336026,144,Player,
336026,467,Player,
336027,25,Player,
336027,27,Captain,
336027,29,Player,
336027,40,Player,
336027,41,Captain,
336027,42,Player,
336027,64,Player,
336027,67,Player,
336027,77,Player,
336027,78,Player,
336027,86,Player,
336027,88,Keeper,
336027,89,Player,
336027,90,Player,
336027,100,Player,
336027,116,Player,
336027,118,Player,
336027,134,Keeper,
336027,135,Player,
336027,136,Player,
336027,139,Player,
336027,153,Player,
336028,6,Captain,
336028,8,Player,
336028,9,Player,
336028,10,Player,
336028,14,Player,
336028,15,Player,
336028,31,Player,
336028,32,Player,
336028,33,Player,
336028,35,Player,
336028,36,Keeper,
336028,38,Captain,
336028,39,Player,
336028,74,Player,
336028,101,Player,
336028,102,Player,
336028,113,Player,
336028,123,Keeper,
336028,124,Player,
336028,126,Player,
336028,130,Player,
336028,145,Player,
336029,44,Player,
336029,45,Player,
